Experiment 1 results - K fold cross validation (k=5),,,,,,,,,,
,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
2,83.97435897,76.02564103,76.41025641,76.28205128,82.43589744,79.61538462,85.51282051,74.48717949,88.97435897,81.66666667
3,82.56410256,75,76.66666667,77.56410256,82.56410256,78.84615385,83.58974359,74.61538462,86.53846154,81.53846154
4,82.94871795,74.1025641,76.92307692,77.56410256,83.58974359,79.35897436,84.87179487,75.51282051,86.66666667,82.56410256
5,83.20512821,74.35897436,76.66666667,78.07692308,82.69230769,79.61538462,85.12820513,75.64102564,87.69230769,81.92307692
6,83.33333333,73.97435897,77.82051282,78.20512821,83.46153846,80.64102564,85.8974359,75.51282051,87.82051282,82.94871795
7,83.58974359,74.74358974,77.43589744,78.58974359,82.82051282,80.38461538,85.51282051,75.8974359,88.20512821,83.07692308
8,83.46153846,74.74358974,77.69230769,78.84615385,82.69230769,79.35897436,86.02564103,75.64102564,87.30769231,82.82051282
9,84.23076923,75.25641026,77.56410256,77.94871795,83.33333333,79.61538462,85.8974359,75.38461538,87.30769231,82.56410256
